Theorist,n_sources,sources
Alexis de Tocqueville,3,calhoun-classical; Joas; ritzer
Anthony Giddens,3,calhoun-contemporary; Joas; ritzer
C. Wright Mills,3,calhoun-contemporary; Joas; ritzer
Emile Durkheim,3,calhoun-classical; Joas; ritzer
Erving Goffman,3,calhoun-contemporary; Joas; ritzer
Georg Simmel,3,calhoun-classical; Joas; ritzer
George C. Homans,3,calhoun-classical; Joas; ritzer
George Herbert Mead,3,calhoun-classical; Joas; ritzer
Immanuel Wallerstein,3,calhoun-contemporary; Joas; ritzer
James S. Coleman,3,calhoun-contemporary; Joas; ritzer
Jeffrey C. Alexander,3,calhoun-contemporary; Joas; ritzer
Jürgen Habermas,3,calhoun-contemporary; Joas; ritzer
Karl Marx,3,calhoun-classical; Joas; ritzer
Max Weber,3,calhoun-classical; Joas; ritzer
Michel Foucault,3,calhoun-contemporary; Joas; ritzer
Norbert Elias,3,calhoun-contemporary; Joas; ritzer
Peter M. Blau,3,calhoun-classical; Joas; ritzer
Pierre Bourdieu,3,calhoun-contemporary; Joas; ritzer
Randall Collins,3,calhoun-contemporary; Joas; ritzer
Robert K. Merton,3,calhoun-classical; Joas; ritzer
Talcott Parsons,3,calhoun-classical; Joas; ritzer
Adam Smith,2,calhoun-classical; Joas
Alfred Schütz,2,calhoun-classical; Joas
Bruno Latour,2,calhoun-contemporary; Joas
Charles Tilly,2,calhoun-contemporary; Joas
Dorothy E. Smith,2,calhoun-contemporary; ritzer
Friedrich Engels,2,calhoun-classical; Joas
Hannah Arendt,2,calhoun-classical; Joas
Harold Garfinkel,2,Joas; ritzer
Herbert Blumer,2,calhoun-contemporary; Joas
Herbert Spencer,2,Joas; ritzer
Immanuel Kant,2,calhoun-classical; Joas
Jean-Jacques Rousseau,2,calhoun-classical; Joas
Karl Mannheim,2,calhoun-classical; Joas
Kimberlé Crenshaw,2,calhoun-contemporary; ritzer
Max Horkheimer,2,calhoun-classical; Joas
Michael Hechter,2,calhoun-contemporary; Joas
Michael Mann,2,calhoun-contemporary; Joas
Michèle Lamont,2,calhoun-contemporary; Joas
Patricia Hill Collins,2,calhoun-contemporary; ritzer
Paul J. DiMaggio,2,calhoun-contemporary; Joas
Peter L. Berger,2,calhoun-classical; Joas
Richard M. Emerson,2,Joas; ritzer
Robert Park,2,Joas; ritzer
Sigmund Freud,2,Joas; ritzer
Theodor W. Adorno,2,calhoun-classical; Joas
Thomas Hobbes,2,calhoun-classical; Joas
Thomas Luckmann,2,calhoun-classical; Joas
Thorstein Veblen,2,Joas; ritzer
W.E.B. Du Bois,2,calhoun-classical; ritzer
Walter W. Powell,2,calhoun-contemporary; Joas
A. F. Chalmers,1,Joas
Aaron V. Cicourel,1,Joas
Abdel Rahman Ibn-Khaldun,1,ritzer
Adolf Hitler,1,Joas
Alain Caillé,1,Joas
Alain Renaut,1,Joas
Alaine Touraine,1,Joas
Alan Ryan,1,Joas
Alan Wolfe,1,Joas
Alasdair MacIntyre,1,Joas
Albert Camus,1,Joas
Albert Hirschman,1,Joas
Aldon D. Morris,1,calhoun-contemporary
Alexandre Kojève,1,Joas
Alfred Marshall,1,Joas
Alfred North Whitehead,1,Joas
Alison M. Jaggar,1,Joas
Amitai Etzioni,1,Joas
Andrea Maurer,1,Joas
Andreas Kalyvas,1,Joas
Andrew Abbott,1,Joas
Andrew Arato,1,Joas
Angelika Wetterer,1,Joas
Ann Swidler,1,Joas
Annie Cohen-Solal,1,Joas
Anselm Strauss,1,Joas
Anthony Oberschall,1,Joas
Antoine Laurent de Lavoisier,1,Joas
Antonio Gramsci,1,Joas
Aristotle,1,Joas
Arlie Hochschild,1,Joas
Armen R. Alchian,1,Joas
Armin Nassehi,1,Joas
Arnold Gehlen,1,Joas
Auguste Comte,1,ritzer
Axel Honneth,1,Joas
B. F. Skinner,1,Joas
Barney G. Glaser,1,Joas
Bedrich Smetana,1,Joas
Bernard Barber,1,Joas
Bernard N. Meltzer,1,Joas
Bernhard Irrgang,1,Joas
Bertolt Brecht,1,Joas
Bettina Heintz,1,Joas
Björn Wittrock,1,Joas
Brigitte Luchesi,1,Joas
Bronislaw Malinowski,1,Joas
Candace West,1,Joas
Carl Friedrich von Weizsäcker,1,Joas
Carl Spitzweg,1,Joas
Carlos Castaneda,1,Joas
Carol Gilligan,1,Joas
Carol Hagemann-White,1,Joas
Carolyn J. Mullins,1,Joas
Caspar David Friedrich,1,Joas
Catharine A. MacKinnon,1,Joas
Charles Baudelaire,1,Joas
Charles Camic,1,Joas
Charles Darwin,1,Joas
Charles Horton Cooley,1,Joas
Charles S. Peirce,1,Joas
Charles Taylor,1,Joas
Christine Bolt,1,Joas
Christophe Charle,1,Joas
Christopher R. Browning,1,Joas
Claude Lefort,1,Joas
Claude Lévi-Strauss,1,Joas
Claus Offe,1,Joas
Clifford Geertz,1,Joas
Cornelius Castoriadis,1,Joas
Craig Calhoun,1,calhoun-contemporary
Cynthia Fuchs Epstein,1,Joas
D. Lawrence Wieder,1,Joas
Daniel Bell,1,Joas
Daniel Cohn-Bendit,1,Joas
Daniel J. Goldhagen,1,Joas
Daniel Lerner,1,Joas
David A. Snow,1,Joas
David Bosshart,1,Joas
David Harvey,1,Joas
