Theorist,Origin
Abdel Rahman Ibn-Khaldun,ritzer
Alexis de Tocqueville,ritzer
Auguste Comte,ritzer
Sigmund Freud,ritzer
Herbert Spencer,ritzer
Karl Marx,ritzer
Emile Durkheim,ritzer
Max Weber,ritzer
Georg Simmel,ritzer
Thorstein Veblen,ritzer
Robert Park,ritzer
W.E.B. Du Bois,ritzer
C. Wright Mills,ritzer
Talcott Parsons,ritzer
Robert K. Merton,ritzer
Immanuel Wallerstein,ritzer
George Herbert Mead,ritzer
Erving Goffman,ritzer
Harold Garfinkel,ritzer
George Caspar Homans,ritzer
Peter M. Blau,ritzer
Richard Emerson,ritzer
James S. Coleman,ritzer
Dorothy E. Smith,ritzer
Patricia Hill Collins,ritzer
Jeffrey C. Alexander,ritzer
Randall Collins,ritzer
Norbert Elias,ritzer
Pierre Bourdieu,ritzer
Anthony Giddens,ritzer
Jurgen Habermas,ritzer
Frantz Fanon,ritzer
Kimberlé Crenshaw,ritzer
George Ritzer,ritzer
Michel Foucault,ritzer
Thomas Hobbes,calhoun-classical
Jean-Jacques Rousseau,calhoun-classical
Immanuel Kant,calhoun-classical
Adam Smith,calhoun-classical
Alexis de Tocqueville,calhoun-classical
Harriet Martineau,calhoun-classical
Jane Addams,calhoun-classical
Karl Polanyi,calhoun-classical
Karl Marx,calhoun-classical
Friedrich Engels,calhoun-classical
Emile Durkheim,calhoun-classical
Max Weber,calhoun-classical
George Herbert Mead,calhoun-classical
Georg Simmel,calhoun-classical
W.E.B. Du Bois,calhoun-classical
Max Horkheimer,calhoun-classical
Theodor W. Adorno,calhoun-classical
Herbert Marcuse,calhoun-classical
Hannah Arendt,calhoun-classical
Karl Mannheim,calhoun-classical
Peter L. Berger,calhoun-classical
Thomas Luckmann,calhoun-classical
Alfred Schutz,calhoun-classical
Talcott Parsons,calhoun-classical
Robert K. Merton,calhoun-classical
George C. Homans,calhoun-classical
Peter M. Blau,calhoun-classical
Andrew Abbott,Joas
Wolfgang Abendroth,Joas
Patricia Adler,Joas
Peter Adler,Joas
Frank Adloff,Joas
Theodor W. Adorno,Joas
Armen R. Alchian,Joas
Jeffrey C. Alexander,Joas
William R. Allen,Joas
Gabriel Almond,Joas
Louis Althusser,Joas
Ruth E. Ames,Joas
Perry Anderson,Joas
Karl-Otto Apel,Joas
